1062,00:00:01,1,F,LAUNCH_PAD,0.0,24.49,100.21,3.58,0.19,0.56,2.46,13.76,-9.42,3.82,0.32,00:00:00,0.0,0.0000,0.0000,0,CXON
1062,00:00:02,2,F,LAUNCH_PAD,0.0,24.51,100.21,3.58,0.19,-2.13,2.57,2.13,-9.20,2.89,1.36,00:00:00,0.0,0.0000,0.0000,0,CXON
1062,00:00:03,3,F,LAUNCH_PAD,0.0,24.51,100.20,3.58,0.20,-1.01,0.56,-3.02,-9.77,2.48,0.93,00:00:00,0.0,0.0000,0.0000,0,CXON
1062,00:00:04,4,F,LAUNCH_PAD,0.0,24.52,100.20,3.58,0.19,-7.72,-10.97,0.00,-8.28,3.20,0.66,00:00:00,0.0,0.0000,0.0000,0,CXON
1062,00:00:05,5,F,LAUNCH_PAD,0.0,24.52,100.20,3.58,0.19,-0.22,0.00,-0.90,-10.19,2.32,1.97,00:00:00,0.0,0.0000,0.0000,0,CXON
1062,00:00:06,6,F,LAUNCH_PAD,0.0,24.53,100.20,3.58,0.19,-34.69,6.60,5.37,-9.08,1.06,0.24,00:00:00,0.0,0.0000,0.0000,0,CXON
1062,00:00:07,7,F,LAUNCH_PAD,0.0,24.54,100.20,3.58,0.19,23.05,40.51,-5.93,-8.96,2.67,-0.02,00:00:00,0.0,0.0000,0.0000,0,CXON
1062,00:00:08,8,F,LAUNCH_PAD,0.0,24.54,100.20,3.58,0.19,35.92,-5.93,57.63,-8.66,3.97,-2.17,00:00:00,0.0,0.0000,0.0000,0,CXON
1062,00:00:09,9,F,LAUNCH_PAD,0.0,24.56,100.20,3.58,0.19,37.71,-17.90,17.46,-7.66,5.31,-4.01,00:00:00,0.0,0.0000,0.0000,0,CXON
1062,00:00:10,10,F,LAUNCH_PAD,0.0,24.56,100.20,3.58,0.20,-3.36,2.46,-0.90,-7.93,4.05,-4.43,00:00:00,0.0,0.0000,0.0000,0,CXON
1062,00:00:11,11,F,LAUNCH_PAD,0.0,24.55,100.20,3.58,0.20,-12.87,9.29,-4.59,-8.66,4.46,-4.20,00:00:00,0.0,0.0000,0.0000,0,CXON
1062,00:00:12,12,F,LAUNCH_PAD,0.0,24.57,100.20,3.58,0.19,-29.32,34.69,1.57,-11.11,2.97,-0.48,00:00:00,0.0,0.0000,0.0000,0,CXON
1062,00:00:13,13,F,LAUNCH_PAD,0.0,24.57,100.21,3.58,0.20,-1.45,-10.18,-3.92,-9.12,3.28,-0.87,00:00:00,0.0,0.0000,0.0000,0,CXON
1062,00:00:14,14,F,LAUNCH_PAD,0.0,24.59,100.20,3.58,0.19,28.31,-13.20,10.18,-6.05,10.86,-3.97,00:00:00,0.0,0.0000,0.0000,0,CXON
